Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
abalon,HGARF,0,"69,8,8, 3, 4,0.6282408114268346,0.3241956895589699",0.593301435,0.593301435,0.195092781,0.634878314,0.775835025,0.49324885,18.75594711,0.016956568
abalon,AdaBoost,0,"409,0.7162254127869453",0.633971292,0.633971292,0.171272639,0.696193542,0.740107757,0.52528464,1.121716261,0.077934027
abalon,HGARF,1,"66,8,8, 3, 4,0.5055924523698347,0.008363510233544424",0.618421053,0.618421053,0.190162998,0.620648586,0.789781387,0.517620729,15.90949845,0.017025232
abalon,AdaBoost,1,"348,0.6674643999049026",0.625598086,0.625598086,0.187017281,0.624590931,0.759040188,0.522648504,0.887994051,0.07093358
abalon,HGARF,2,"86,8,8, 3, 4,0.5928081756190222,0.23053160759112248",0.598802395,0.598802395,0.198585764,0.606324794,0.77681511,0.496718697,18.09016848,0.016860247
abalon,AdaBoost,2,"165,1.3414957826736527",0.628742515,0.628742515,0.182671901,0.641734096,0.74427701,0.523034777,0.398906469,0.032604218
abalon,HGARF,3,"51,8,8, 3, 4,0.8070161202103495,0.42219937160094834",0.621556886,0.621556886,0.189446069,0.61962504,0.793525337,0.524816098,20.18291783,0.017091036
abalon,AdaBoost,3,"116,0.500115699144465",0.635928144,0.635928144,0.182784939,0.63433446,0.762049399,0.539778743,0.281392813,0.022944212
abalon,HGARF,4,"59,8,8, 3, 4,0.758796561378261,0.40817997051097077",0.585628743,0.585628743,0.206184203,0.587440905,0.773308098,0.491346228,19.93910098,0.017015457
abalon,AdaBoost,4,"265,0.5004402985670391",0.617964072,0.617964072,0.191438062,0.613698154,0.790037516,0.522679871,0.638752937,0.051446915
acute-inflammation,HGARF,0,"95,6,8, 3, 4,0.9718520785304487,0.4591986829023341",1,1,0,1,1,1,1.53775239,0.001177311
acute-inflammation,AdaBoost,0,"425,0.7662264887457243",1,1,0,1,1,1,0.350543737,0.039237976
acute-inflammation,HGARF,1,"71,6,8, 3, 4,0.13672500702642798,0.8074933696798826",1,1,0,1,1,1,1.404029369,0.001134157
acute-inflammation,AdaBoost,1,"214,1.4449494970397927",0.833333333,0.833333333,0.125,0.888888889,1,0.791666667,0.185377598,0.020644188
acute-inflammation,HGARF,2,"86,6,8, 3, 4,0.889127738952484,0.44427101033994776",1,1,0,1,1,1,1.52925539,0.00118947
acute-inflammation,AdaBoost,2,"339,1.4403286827250117",1,1,0,1,1,1,0.278805494,0.030767918
acute-inflammation,HGARF,3,"97,6,8, 3, 4,0.1652202027864258,0.608024677502388",1,1,0,1,1,1,1.321079969,0.001133442
acute-inflammation,AdaBoost,3,"206,0.777848684395437",1,1,0,1,1,1,0.178409576,0.019770145
acute-inflammation,HGARF,4,"55,6,8, 3, 4,0.9999434254641533,0.1080669108279344",1,1,0,1,1,1,1.470757961,0.001108646
acute-inflammation,AdaBoost,4,"335,0.9830657637524586",1,1,0,1,1,1,0.290542603,0.031812668
acute-nephritis,HGARF,0,"79,7,8, 3, 4,0.3071335969453318,0.5979300215445819",0.708333333,0.708333333,0.166666667,0.9125,0.65,0.629166667,1.407219172,0.001110792
acute-nephritis,AdaBoost,0,"159,1.2501184147659852",0.708333333,0.708333333,0.166666667,0.9125,0.825,0.629166667,0.13057518,0.014685392
acute-nephritis,HGARF,1,"56,7,8, 3, 4,0.7157617473392118,0.4661300308089833",1,1,0,1,1,1,1.418141127,0.001109362
acute-nephritis,AdaBoost,1,"345,1.4623703773311623",1,1,0,1,1,1,0.285341024,0.031445265
acute-nephritis,HGARF,2,"71,7,8, 3, 4,0.841275500176843,0.8585645495432955",1,1,0,1,1,1,1.459720135,0.0011127
acute-nephritis,AdaBoost,2,"160,1.0666188207220246",1,1,0,1,1,1,0.132016659,0.014587164
acute-nephritis,HGARF,3,"71,7,8, 3, 4,0.8271814557077879,0.8999005682329578",1,1,0,1,1,1,1.540594339,0.001172304
acute-nephritis,AdaBoost,3,"245,1.347136449510074",1,1,0,1,1,1,0.202404022,0.022563457
acute-nephritis,HGARF,4,"89,7,8, 3, 4,0.6995527953133882,0.8646369162682945",0.583333333,0.583333333,0.25,0.880952381,1,0.601190476,1.452476263,0.001136065
acute-nephritis,AdaBoost,4,"380,0.6069060423420802",0.583333333,0.583333333,0.25,0.880952381,0.642857143,0.601190476,0.00095582,0.000304461
analcatdata_asbestos,HGARF,0,"75,6,8, 3, 4,0.5301653738531354,0.31340293549206943",0.882352941,0.882352941,0.118055556,0.882352941,0.923611111,0.836697758,1.285204411,0.00107193
analcatdata_asbestos,AdaBoost,0,"426,1.0173746347152317",0.705882353,0.705882353,0.266666667,0.774509804,0.819444444,0.64335512,0.350562572,0.038231611
analcatdata_asbestos,HGARF,1,"56,6,8, 3, 4,0.28786558608689955,0.39622301509673086",0.882352941,0.882352941,0.118055556,0.882352941,0.972222222,0.836697758,1.24042201,0.001039982
analcatdata_asbestos,AdaBoost,1,"351,1.4442354266193158",0.882352941,0.882352941,0.090909091,0.911764706,0.986111111,0.842914439,0.287598372,0.031058311
analcatdata_asbestos,HGARF,2,"96,6,8, 3, 4,0.030766454714498404,0.5517044033293446",0.764705882,0.764705882,0.242857143,0.764705882,0.785714286,0.6927491,1.197705507,0.000992775
analcatdata_asbestos,AdaBoost,2,"325,0.5438299594461121",0.529411765,0.529411765,0.465277778,0.537815126,0.7,0.518528245,0.268011093,0.028972626
analcatdata_asbestos,HGARF,3,"53,6,8, 3, 4,0.13595680969461266,0.4947221544380235",0.5625,0.5625,0.458333333,0.654761905,0.650793651,0.517030423,1.247095823,0.001037598
analcatdata_asbestos,AdaBoost,3,"109,0.7657457520711327",0.6875,0.6875,0.3125,0.69047619,0.793650794,0.629464286,0.090382814,0.010010481
analcatdata_asbestos,HGARF,4,"80,6,8, 3, 4,0.1737696990735856,0.260273299117521",0.75,0.75,0.238095238,0.773809524,0.753968254,0.696428571,1.188218355,0.00102067
analcatdata_asbestos,AdaBoost,4,"212,1.137584461605379",0.75,0.75,0.253968254,0.75,0.674603175,0.682571177,0.174157381,0.018931389
analcatdata_boxing1,HGARF,0,"58,13,8, 3, 4,0.28107925156651553,0.28298029053533463",0.416666667,0.416666667,0.318181818,0.927083333,0.859375,0.535984848,1.281576395,0.001134634
analcatdata_boxing1,AdaBoost,0,"489,0.7494309835962787",0.541666667,0.541666667,0.289473684,0.856770833,0.7890625,0.595942982,0.406113386,0.045334578
analcatdata_boxing1,HGARF,1,"66,13,8, 3, 4,0.8020403515729025,0.5294373784672286",0.666666667,0.666666667,0.388888889,0.703125,0.47265625,0.553819444,1.459284544,0.001133919
analcatdata_boxing1,AdaBoost,1,"316,1.292792021744015",0.416666667,0.416666667,0.614285714,0.395833333,0.359375,0.45952381,0.262378693,0.029086351
analcatdata_boxing1,HGARF,2,"93,13,8, 3, 4,0.8311040376482722,0.6990072770302986",0.541666667,0.541666667,0.472027972,0.533854167,0.5078125,0.514787296,1.494475842,0.001119614
analcatdata_boxing1,AdaBoost,2,"347,1.3622955352927968",0.375,0.375,0.677777778,0.359375,0.296875,0.452777778,0.288038492,0.031980753
analcatdata_boxing1,HGARF,3,"60,13,8, 3, 4,0.8100715935657988,0.1315263735142279",0.625,0.625,0.3125,0.748148148,0.766666667,0.613888889,1.420853138,0.001132488
analcatdata_boxing1,AdaBoost,3,"288,1.4958412385097448",0.75,0.75,0.258741259,0.753703704,0.762962963,0.682731158,0.239582062,0.026683569
analcatdata_boxing1,HGARF,4,"80,13,8, 3, 4,0.23887029319441316,0.2692584204018197",0.708333333,0.708333333,0.305555556,0.761111111,0.874074074,0.606944444,1.259255648,0.001137972
analcatdata_boxing1,AdaBoost,4,"298,1.4323939340188332",0.75,0.75,0.231578947,0.831481481,0.844444444,0.646637427,0.247059345,0.027711391
analcatdata_broadwaymult,HGARF,0,"70,106,8, 3, 4,0.484627607294283,0.25431732163936394",0.49122807,0.49122807,0.085367236,0.650021794,0.578173063,0.225565466,2.01897192,0.001868486
analcatdata_broadwaymult,AdaBoost,0,"271,1.0435375115327954",0.438596491,0.438596491,0.097597357,0.778467909,0.651119703,0.184816718,0.276174068,0.031209946
analcatdata_broadwaymult,HGARF,1,"69,106,8, 3, 4,0.6100501052754846,0.7619759634280903",0.561403509,0.561403509,0.069583341,0.728996404,0.721874472,0.287863681,2.374139547,0.001888275
analcatdata_broadwaymult,AdaBoost,1,"241,1.162763964584013",0.526315789,0.526315789,0.067669173,1,0.680612245,0.206766917,0.244829178,0.027962446
analcatdata_broadwaymult,HGARF,2,"72,106,8, 3, 4,0.6545058652398937,0.4428622099242302",0.543859649,0.543859649,0.078541902,0.643796992,0.737140799,0.279262095,2.313370466,0.001914263
analcatdata_broadwaymult,AdaBoost,2,"405,1.032649611794819",0.49122807,0.49122807,0.0839599,0.896825397,0.632823129,0.187164339,0.412132978,0.046300888
analcatdata_broadwaymult,HGARF,3,"93,106,8, 3, 4,0.6200905049468732,0.734815193003588",0.561403509,0.561403509,0.073082943,0.710860485,0.726367158,0.280783703,2.370836973,0.001895905
analcatdata_broadwaymult,AdaBoost,3,"213,1.0647631010427496",0.456140351,0.456140351,0.094869249,0.812865497,0.631746032,0.192463581,0.218335152,0.024865627
analcatdata_broadwaymult,HGARF,4,"79,106,8, 3, 4,0.683756217462901,0.7539583346408459",0.473684211,0.473684211,0.084510596,0.717522974,0.697576058,0.195042322,2.525628567,0.002020597
analcatdata_broadwaymult,AdaBoost,4,"195,1.1902753531048815",0.333333333,0.333333333,0.124230143,0.444026734,0.640718065,0.166073609,0.198678255,0.022657156
arrhythmia,HGARF,0,"92,262,8, 3, 4,0.11355270516082128,0.1216882084755313",0.648351648,0.648351648,0.034152732,0.784480825,0.754955207,0.268559627,9.758562803,0.003131151
arrhythmia,AdaBoost,0,"363,1.4985853334715327",0.626373626,0.626373626,0.037036688,0.834692009,0.684578609,0.182544515,1.551846504,0.066265345
arrhythmia,HGARF,1,"65,262,8, 3, 4,0.9967400197385973,0.7849301486211834",0.626373626,0.626373626,0.037415924,0.810076998,0.738493624,0.271230096,10.84925723,0.003110886
arrhythmia,AdaBoost,1,"360,0.9595122894987462",0.571428571,0.571428571,0.043000582,0.891948867,0.534188827,0.103741497,1.537036896,0.066706181
arrhythmia,HGARF,2,"63,262,8, 3, 4,0.9209926786518319,0.6604910389940127",0.622222222,0.622222222,0.037294423,0.683381204,0.766462041,0.225388748,11.41219139,0.003103971
arrhythmia,AdaBoost,2,"343,0.8836972355619562",0.577777778,0.577777778,0.050733078,0.799138322,0.631191249,0.203850151,1.466441631,0.063345432
arrhythmia,HGARF,3,"58,262,8, 3, 4,0.9905790572159047,0.7755296503923016",0.677777778,0.677777778,0.03052498,0.789430587,0.797503164,0.341458806,10.92861223,0.003104687
arrhythmia,AdaBoost,3,"230,1.4978850290460333",0.611111111,0.611111111,0.039468734,0.920975057,0.595109256,0.195102232,0.986189604,0.042369366
arrhythmia,HGARF,4,"86,262,8, 3, 4,0.3899469893258133,0.7137912831184577",0.644444444,0.644444444,0.034320311,0.727762661,0.760865011,0.330207225,10.63517499,0.003168344
arrhythmia,AdaBoost,4,"435,1.0745793469881662",0.611111111,0.611111111,0.035914364,0.938888889,0.582192744,0.16489899,1.824892998,0.078758955
audiology-std,HGARF,0,"58,59,8, 3, 4,0.032317687487179114,0.4332214526980863",0.3,0.3,0.044232509,0.325,0.91025641,0.145238095,1.988323927,0.00175333
audiology-std,AdaBoost,0,"468,0.5744211192449806",0.5,0.5,0.038293651,0.825,0.971306471,0.335,0.601006985,0.064123631
audiology-std,HGARF,1,"71,59,8, 3, 4,0.9149434124823842,0.6527457576967365",0.512820513,0.512820513,0.030970825,0.51994302,0.976991758,0.264362027,2.37221384,0.001740694
audiology-std,AdaBoost,1,"471,0.5000289237835864",0.358974359,0.358974359,0.049643339,0.641025641,0.923076923,0.367216117,0.602728605,0.064408064
audiology-std,HGARF,2,"86,59,8, 3, 4,0.27147224517857604,0.308388517889849",0.58974359,0.58974359,0.029329647,0.646723647,0.940883191,0.277700161,1.942986727,0.001726151
audiology-std,AdaBoost,2,"212,0.5045179146191524",0.435897436,0.435897436,0.04888701,0.603988604,0.967948718,0.427619389,0.26999855,0.02927947
audiology-std,HGARF,3,"55,59,8, 3, 4,0.11427465353195657,0.2661428849118029",0.307692308,0.307692308,0.04892953,0.381766382,0.8878367,0.172507123,1.887163877,0.001734734
audiology-std,AdaBoost,3,"241,0.8710082520436703",0.512820513,0.512820513,0.041166673,0.884615385,0.880681818,0.257264957,0.304570198,0.032389641
audiology-std,HGARF,4,"72,59,8, 3, 4,0.7478391866679094,0.753567769508912",0.384615385,0.384615385,0.046306213,0.441025641,0.926590909,0.24988345,2.235773087,0.001757383
audiology-std,AdaBoost,4,"249,0.5290884499274866",0.58974359,0.58974359,0.037786775,0.918803419,0.885841751,0.264568765,0.30968833,0.032680511
autos,HGARF,0,"99,75,8, 3, 4,0.494973221056183,0.8020755691473034",0.268292683,0.268292683,0.143884292,0.573170732,0.713014763,0.238454495,2.4755826,0.001782894
autos,AdaBoost,0,"155,0.8000776724422944",0.317073171,0.317073171,0.181555239,0.394763773,0.73998446,0.307446505,0.207413912,0.019221306
autos,HGARF,1,"76,75,8, 3, 4,0.8422714976343889,0.9194864086774804",0.073170732,0.073170732,0.207537043,0.077459126,0.855740842,0.205223189,2.580072403,0.001787901
autos,AdaBoost,1,"287,0.6798406407991929",0.463414634,0.463414634,0.139898132,0.568667917,0.812547619,0.427247143,0.38575387,0.03515625
autos,HGARF,2,"57,75,8, 3, 4,0.8024325828606415,0.7656858721584504",0.609756098,0.609756098,0.079562543,0.736275919,0.854086747,0.563083178,2.580146551,0.001749992
autos,AdaBoost,2,"266,0.5137688127522072",0.512195122,0.512195122,0.086066127,0.853373456,0.813982684,0.484093719,0.360522985,0.033105612
autos,HGARF,3,"56,75,8, 3, 4,0.33085608502300307,0.27230427884951347",0.951219512,0.951219512,0.010185185,0.955284553,0.986673882,0.923648906,2.233652353,0.001778126
autos,AdaBoost,3,"409,0.6406609720313399",0.634146341,0.634146341,0.076829301,0.746848274,0.948780664,0.586239235,0.554770947,0.051098585
autos,HGARF,4,"63,75,8, 3, 4,0.6597498236463888,0.99938124320598",0.414634146,0.414634146,0.130797402,0.448020272,0.762721861,0.301027893,2.617751837,0.001796007
autos,AdaBoost,4,"295,0.6242441170861497",0.585365854,0.585365854,0.078162766,0.798965262,0.922453102,0.352920286,0.399958134,0.03715229
balance-scale,HGARF,0,"87,4,8, 3, 4,0.6413147499051512,0.9087804993898827",0.512,0.512,0.17670765,0.725263158,0.678682698,0.437959444,4.291295767,0.003590584
balance-scale,AdaBoost,0,"482,1.495799065672124",0.888,0.888,0.049053586,0.932631579,0.827253479,0.63141112,0.598176718,0.06183362
balance-scale,HGARF,1,"88,4,8, 3, 4,0.3424431078026454,0.5837836906774678",0.672,0.672,0.178684274,0.648629159,0.683784533,0.477825849,3.698140621,0.003640175
balance-scale,AdaBoost,1,"411,1.4803169779573155",0.92,0.92,0.04580637,0.927259528,0.788596491,0.801923775,0.510975361,0.053131104
balance-scale,HGARF,2,"88,4,8, 3, 4,0.52264450284097,0.9359304973588672",0.752,0.752,0.124845292,0.750296431,0.725055455,0.543492093,4.258068323,0.003626823
balance-scale,AdaBoost,2,"464,1.4891802193926265",0.792,0.792,0.104423994,0.779465215,0.66509881,0.582940366,0.577432394,0.059670925
balance-scale,HGARF,3,"52,4,8, 3, 4,0.07299670989091112,0.7018389406843268",0.696,0.696,0.159862641,0.639046582,0.685007058,0.521155165,3.669878244,0.003613234
balance-scale,AdaBoost,3,"478,1.4792832117464878",0.72,0.72,0.140089819,0.645333333,0.717231297,0.55765076,0.593721151,0.062319994
balance-scale,HGARF,4,"95,4,8, 3, 4,0.7290966617096772,0.8732903075907069",0.504,0.504,0.202694139,0.732214559,0.753721319,0.414715303,4.278002262,0.003548622
balance-scale,AdaBoost,4,"405,1.4563465151311838",0.768,0.768,0.103177025,0.799172414,0.84642401,0.553501916,0.503782511,0.052790642
bank,HGARF,0,"77,16,8, 3, 4,0.8321678057628499,0.8141301301320512",0.895027624,0.895027624,0.240471732,0.941369245,0.850380952,0.578584491,26.80558109,0.020836592
bank,AdaBoost,0,"123,0.8764908166390235",0.881767956,0.881767956,0.299657827,0.906178637,0.881214286,0.574653681,0.408905268,0.029787064
bank,HGARF,1,"73,16,8, 3, 4,0.653323638271756,0.19822939965676956",0.897123894,0.897123894,0.244218233,0.928656824,0.822007212,0.596655233,23.34779835,0.020648241
bank,AdaBoost,1,"110,0.7522004030560174",0.89159292,0.89159292,0.267061611,0.923178608,0.863088942,0.583946123,0.365120888,0.026558876
bank,HGARF,2,"64,16,8, 3, 4,0.9100064695428173,0.27833705355581556",0.880530973,0.880530973,0.310665849,0.912119426,0.84016226,0.56162386,26.53001356,0.021150827
bank,AdaBoost,2,"138,0.5658944479526036",0.899336283,0.899336283,0.236460339,0.928553012,0.913329327,0.604682228,0.458859444,0.033191681
bank,HGARF,3,"97,16,8, 3, 4,0.8064996976105083,0.7773564283532817",0.897123894,0.897123894,0.24525018,0.926738534,0.837385817,0.598885043,26.76406217,0.021093845
bank,AdaBoost,3,"117,0.5124022423670108",0.902654867,0.902654867,0.214156735,0.940077434,0.888701923,0.604145748,0.388708591,0.028299809
bank,HGARF,4,"79,16,8, 3, 4,0.6338880232793909,0.020218434082709458",0.883849558,0.883849558,0.300545418,0.924257467,0.841370192,0.558239249,22.1159234,0.021226168
bank,AdaBoost,4,"123,1.3628427629078752",0.884955752,0.884955752,0.293838863,0.917762934,0.875030048,0.568692603,0.408477545,0.029837608
baseball,HGARF,0,"55,22,8, 3, 4,0.4929466420560375,0.3792965483210917",0.917910448,0.917910448,0.119883588,0.937483759,0.811323907,0.449375344,8.26727891,0.006661415
baseball,AdaBoost,0,"420,0.7281041057205585",0.921641791,0.921641791,0.119391026,0.93218381,0.849710703,0.477026757,1.074617863,0.068328619
baseball,HGARF,1,"62,22,8, 3, 4,0.18317222272759637,0.8001576303060559",0.947761194,0.947761194,0.048839306,0.956935999,0.819283968,0.578175705,9.227704763,0.006674051
baseball,AdaBoost,1,"165,0.5268931196971602",0.929104478,0.929104478,0.116960559,0.927170298,0.87472741,0.551303544,0.423160553,0.027253389
baseball,HGARF,2,"73,22,8, 3, 4,0.7065768511576197,0.09299231968488364",0.940298507,0.940298507,0.059537547,0.964493909,0.817533804,0.565713517,8.829675198,0.006651402
baseball,AdaBoost,2,"155,0.7203988852534002",0.906716418,0.906716418,0.170722788,0.895345902,0.837613347,0.626226749,0.396758556,0.025518894
baseball,HGARF,3,"59,22,8, 3, 4,0.1737488091193628,0.5049487232028577",0.917910448,0.917910448,0.13151197,0.94517791,0.86639989,0.465430845,8.107411385,0.006634235
baseball,AdaBoost,3,"117,0.9102097551635231",0.917910448,0.917910448,0.143985859,0.914284199,0.881990095,0.566234329,0.300243378,0.019479275
baseball,HGARF,4,"71,22,8, 3, 4,0.4977430556247291,0.4226445625257219",0.929104478,0.929104478,0.116795866,0.939595553,0.810343292,0.542323494,8.516052008,0.00663352
baseball,AdaBoost,4,"115,0.504141079134991",0.906716418,0.906716418,0.165111156,0.898702136,0.875772718,0.537236187,0.2942729,0.018970728
blood,HGARF,0,"75,4,8, 3, 4,0.03164022721015804,0.6820691657249225",0.413333333,0.413333333,0.542888563,0.452865497,0.471247563,0.481424988,4.362243652,0.004234314
blood,AdaBoost,0,"115,0.6633389115130148",0.56,0.56,0.383333333,0.689473684,0.766812865,0.572046784,0.147041798,0.015276194
blood,HGARF,1,"82,4,8, 3, 4,0.5871577503119987,0.9463362998447751",0.72,0.6,0.527272727,0.586744639,0.453703704,0.490324296,5.057596445,0.004243135
blood,AdaBoost,1,"104,0.9534565748697316",0.813333333,0.813333333,0.146428571,0.941812865,0.724537037,0.605864662,0.133070707,0.01359129
blood,HGARF,2,"92,4,8, 3, 4,0.02138126168931921,0.27747497696432827",0.7,0.7,0.580444735,0.847417154,0.365497076,0.492547493,3.10865736,0.004116297
blood,AdaBoost,2,"109,0.5433989952815742",0.753333333,0.753333333,0.620805369,0.984619883,0.818591618,0.499201696,0.139747381,0.014181376
