Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
chess-krvkp,HGARF,4,"65,36,8, 3, 4,0.6561143214996464,0.7843169948674982",0.938967136,0.938967136,0.061187748,0.938963957,0.986039962,0.911994013,32.19120908,0.031633615
chess-krvkp,AdaBoost,4,"349,0.7563644946093497",0.929577465,0.929577465,0.05952381,0.93993372,1,0.902158046,1.003908634,0.110390425
chscase_vine1,HGARF,0,"52,9,8, 3, 4,0.8539411684398309,0.8288974349712885",0.545454545,0.545454545,,1,0.833333333,0.5,2.263209343,0.001772881
chscase_vine1,AdaBoost,0,"443,1.038171354387023",0.545454545,0.545454545,,1,0.666666667,0.5,0.640464306,0.082248926
chscase_vine1,HGARF,1,"77,9,8, 3, 4,0.606386007442803,0.8764818682173006",0.545454545,0.545454545,,1,0.916666667,0.5,2.279959917,0.001790285
chscase_vine1,AdaBoost,1,"278,0.605987168393288",0.909090909,0.909090909,0.071428571,0.927272727,1,0.874025974,0.409224272,0.053010941
chscase_vine1,HGARF,2,"85,9,8, 3, 4,0.27768108734204733,0.19206989593051926",0.5,0.5,,1,0.64,0.5,2.046926975,0.001818895
chscase_vine1,AdaBoost,2,"483,1.0607756499053727",0.7,0.7,0.1875,0.88,0.56,0.6625,0.711884499,0.09184289
chscase_vine1,HGARF,3,"85,9,8, 3, 4,0.9681182155483528,0.3407130808282621",0.7,0.7,0.1875,0.88,0.82,0.6625,2.357780457,0.001806259
chscase_vine1,AdaBoost,3,"416,1.4912328295032216",0.9,0.9,0.083333333,0.92,0.92,0.866666667,0.613891363,0.078624964
chscase_vine1,HGARF,4,"80,9,8, 3, 4,0.35397789221088305,0.8776946024313038",0.5,0.5,0.277777778,0.916666667,0.666666667,0.555555556,2.323246479,0.00175643
chscase_vine1,AdaBoost,4,"403,1.184499201192728",0.5,0.5,0.277777778,0.916666667,0.583333333,0.555555556,0.594960928,0.077269316
cloud,HGARF,0,"97,7,8, 3, 4,0.8335187564266919,0.45279019236957463",0.636363636,0.636363636,0.65,0.795454545,0.526041667,0.488068182,1.882405758,0.001305342
cloud,AdaBoost,0,"148,1.2126369186919514",0.636363636,0.636363636,0.419642857,0.619318182,0.625,0.545657468,0.166462183,0.01584363
cloud,HGARF,1,"73,7,8, 3, 4,0.9375071156512296,0.6724600914357701",0.590909091,0.590909091,0.541666667,0.680519481,0.533333333,0.489069264,1.868990183,0.001290321
cloud,AdaBoost,1,"103,1.4563601777408777",0.545454545,0.545454545,0.684210526,0.690909091,0.276190476,0.479904306,0.115874052,0.011370897
cloud,HGARF,2,"98,7,8, 3, 4,0.5907837444306752,0.2607523615654666",0.454545455,0.454545455,0.628571429,0.454545455,0.285714286,0.462931354,1.72336936,0.001293182
cloud,AdaBoost,2,"327,0.6613820572059435",0.5,0.5,0.553571429,0.485714286,0.380952381,0.478571429,0.368931293,0.034595013
cloud,HGARF,3,"65,7,8, 3, 4,0.10363868977528845,0.7662840271108766",0.619047619,0.619047619,0.522058824,0.679365079,0.227777778,0.493662465,1.790800333,0.001268387
cloud,AdaBoost,3,"267,0.5591590449467874",0.666666667,0.666666667,0.472222222,0.766666667,0.422222222,0.507407407,0.299272776,0.028110266
cloud,HGARF,4,"91,7,8, 3, 4,0.09312559336793402,0.29533084253850883",0.571428571,0.571428571,0.55625,0.598412698,0.466666667,0.483035714,1.56865263,0.001276493
cloud,AdaBoost,4,"139,1.2398015777290161",0.571428571,0.571428571,0.55625,0.598412698,0.511111111,0.483035714,0.15625906,0.015053988
congressional-voting,HGARF,0,"55,16,8, 3, 4,0.4378013257037094,0.3470436621036841",0.632183908,0.632183908,0.371044304,0.870169799,0.694506104,0.528407038,2.907770157,0.002818346
congressional-voting,AdaBoost,0,"109,0.5011153573956545",0.632183908,0.632183908,0.371044304,0.870169799,0.667869034,0.528407038,0.129908562,0.013550282
congressional-voting,HGARF,1,"77,16,8, 3, 4,0.2025048634969402,0.541096446706964",0.597701149,0.609195402,0.429104478,0.692423489,0.61154273,0.529280908,2.860154867,0.002735376
congressional-voting,AdaBoost,1,"216,0.5079102072046153",0.597701149,0.597701149,0.446981424,0.691945093,0.60627081,0.520363456,0.257153988,0.026330233
congressional-voting,HGARF,2,"57,16,8, 3, 4,0.9696998101266178,0.5942006670870809",0.505747126,0.528735632,0.413303909,0.663930244,0.558823529,0.54236647,3.464920282,0.002790213
congressional-voting,AdaBoost,2,"478,0.5192347228115447",0.586206897,0.586206897,0.508702532,0.830494852,0.620144284,0.498577999,0.569403172,0.058222055
congressional-voting,HGARF,3,"59,16,8, 3, 4,0.055115877412333036,0.07247131031304022",0.574712644,0.574712644,0.544805195,0.78077712,0.611391695,0.491912557,2.031346083,0.002740383
congressional-voting,AdaBoost,3,"403,1.4990475251417044",0.574712644,0.574712644,0.544805195,0.78077712,0.599046016,0.491912557,0.480195045,0.049377441
congressional-voting,HGARF,4,"90,16,8, 3, 4,0.26824717108554963,0.2934659388457276",0.620689655,0.620689655,0.433544304,0.851929254,0.636924804,0.512972736,2.603288174,0.002766609
congressional-voting,AdaBoost,4,"269,0.8889782534799225",0.643678161,0.643678161,0.381666667,0.811505863,0.658529742,0.536449359,0.320271015,0.032910585
conn-bench-sonar-mines-rocks,HGARF,0,"87,60,8, 3, 4,0.5916304478936781,0.19495693658664562",0.476190476,0.476190476,0.519230769,0.50995671,0.490909091,0.491275391,2.93506074,0.001804352
conn-bench-sonar-mines-rocks,AdaBoost,0,"223,1.4278894121430927",0.571428571,0.571428571,0.427272727,0.574025974,0.579545455,0.541558442,0.425578833,0.025464296
conn-bench-sonar-mines-rocks,HGARF,1,"77,60,8, 3, 4,0.9238611866306825,0.3955176439504562",0.761904762,0.761904762,0.214285714,0.806060606,0.822727273,0.700865801,3.192673922,0.001794577
conn-bench-sonar-mines-rocks,AdaBoost,1,"468,1.445580734209711",0.80952381,0.80952381,0.177884615,0.829437229,0.856818182,0.751138445,0.89222002,0.052551985
conn-bench-sonar-mines-rocks,HGARF,2,"97,60,8, 3, 4,0.06880787531550087,0.6723677546239921",0.642857143,0.642857143,0.354545455,0.648251062,0.80778032,0.593768017,2.980532408,0.001781225
conn-bench-sonar-mines-rocks,AdaBoost,2,"127,0.767607659274078",0.714285714,0.714285714,0.279176201,0.727361883,0.773455378,0.657731285,0.242736816,0.014642715
conn-bench-sonar-mines-rocks,HGARF,3,"66,60,8, 3, 4,0.4199900102364209,0.22422798365731741",0.731707317,0.731707317,0.254901961,0.756797759,0.900717703,0.676880181,2.878515005,0.001768351
conn-bench-sonar-mines-rocks,AdaBoost,3,"355,1.3878758073970587",0.87804878,0.87804878,0.11722488,0.887501459,0.968899522,0.836095227,0.679611683,0.039743185
conn-bench-sonar-mines-rocks,HGARF,4,"62,60,8, 3, 4,0.8199166238135408,0.569307057992316",0.682926829,0.682926829,0.185714286,0.89987163,0.842105263,0.630717036,3.19346118,0.00176692
conn-bench-sonar-mines-rocks,AdaBoost,4,"187,1.0712121290276155",0.658536585,0.658536585,0.332417582,0.708950869,0.770334928,0.597686332,0.358589888,0.021416903
conn-bench-vowel-deterding,HGARF,0,"98,11,8, 3, 4,0.12985744102946095,0.9933877721653515",0.929292929,0.929292929,0.007005521,0.936026936,0.994107744,0.877666618,7.838395834,0.005398989
conn-bench-vowel-deterding,AdaBoost,0,"495,0.7477271478285102",0.555555556,0.555555556,0.043548271,0.663580247,0.945117845,0.423094267,1.933457851,0.146562099
conn-bench-vowel-deterding,HGARF,1,"65,11,8, 3, 4,0.2819716577237583,0.2284780527002198",0.974747475,0.974747475,0.002508572,0.976430976,0.99880752,0.95361295,6.059642553,0.005391121
conn-bench-vowel-deterding,AdaBoost,1,"409,0.6704362247496446",0.515151515,0.515151515,0.047944502,0.584175084,0.941217733,0.345290357,1.301192045,0.094848871
conn-bench-vowel-deterding,HGARF,2,"70,11,8, 3, 4,0.8394887264279073,0.8337314472850968",0.606060606,0.606060606,0.039443646,0.609147026,0.921296296,0.466218044,7.712299347,0.005411386
conn-bench-vowel-deterding,AdaBoost,2,"449,0.5491200858924403",0.419191919,0.419191919,0.056625686,0.615039282,0.894163861,0.279578848,1.431985378,0.100755453
conn-bench-vowel-deterding,HGARF,3,"85,11,8, 3, 4,0.2552376077925811,0.031140159095568554",0.95959596,0.95959596,0.004004283,0.963243547,0.998358586,0.929018267,5.325984478,0.005427361
conn-bench-vowel-deterding,AdaBoost,3,"340,0.6749477437620789",0.555555556,0.555555556,0.043557946,0.658529742,0.94503367,0.394780816,1.081486702,0.077356339
conn-bench-vowel-deterding,HGARF,4,"60,11,8, 3, 4,0.35873910526682984,0.48711974395019797",0.944444444,0.944444444,0.005517312,0.948372615,0.993434343,0.90146452,6.669677496,0.005350351
conn-bench-vowel-deterding,AdaBoost,4,"457,0.5775905905520357",0.636363636,0.636363636,0.035622526,0.723344557,0.963215488,0.481367566,1.455910206,0.10203743
contrac,HGARF,0,"52,9,8, 3, 4,0.3027806823111767,0.425987248195528",0.545762712,0.545762712,0.233321446,0.572044634,0.673685533,0.431119049,7.085903883,0.007759809
contrac,AdaBoost,0,"159,0.5987034961794186",0.569491525,0.569491525,0.221378222,0.575963344,0.677664819,0.45090118,0.246570587,0.026468992
contrac,HGARF,1,"88,9,8, 3, 4,0.3503451018569824,0.4375599155341141",0.474576271,0.477966102,0.264331943,0.500876971,0.648262829,0.385140317,7.260231495,0.007823467
contrac,AdaBoost,1,"104,0.5651035442464795",0.525423729,0.525423729,0.241498743,0.535088764,0.682895629,0.418859754,0.162311077,0.017442226
contrac,HGARF,2,"62,9,8, 3, 4,0.8368398968303812,0.4042232815996092",0.505084746,0.501694915,0.257822704,0.503754297,0.693009226,0.407208048,8.75109005,0.007760286
contrac,AdaBoost,2,"111,0.5006602787015758",0.555932203,0.555932203,0.230238038,0.561326778,0.720086323,0.444856181,0.172089338,0.018567562
contrac,HGARF,3,"77,9,8, 3, 4,0.6529251131677176,0.34652270677792485",0.520408163,0.527210884,0.2399922,0.53425656,0.679683742,0.423209669,8.001269102,0.007754803
contrac,AdaBoost,3,"112,0.6045683343267428",0.588435374,0.588435374,0.209398143,0.594111815,0.715536551,0.46177656,0.174036503,0.018696308
contrac,HGARF,4,"85,9,8, 3, 4,0.6050938139044876,0.5839310981716765",0.493197279,0.489795918,0.26625501,0.509712542,0.682242318,0.398557732,8.530483723,0.007674932
contrac,AdaBoost,4,"140,0.9270849392221875",0.534013605,0.534013605,0.239193692,0.540014191,0.66870198,0.426313009,0.217375994,0.023253441
credit-approval,HGARF,0,"94,15,8, 3, 4,0.9828832119182729,0.4109947656457207",0.68115942,0.68115942,0.283333333,0.751088802,0.741935484,0.640008858,4.973456383,0.003938198
credit-approval,AdaBoost,0,"499,0.8289322718014231",0.65942029,0.65942029,0.314739689,0.713091459,0.730050934,0.617789427,0.730735064,0.065706968
credit-approval,HGARF,1,"86,15,8, 3, 4,0.821800790749565,0.829982144964368",0.905797101,0.905797101,0.095555556,0.905763269,0.969439728,0.86616672,5.051242828,0.003970861
credit-approval,AdaBoost,1,"159,1.430857675706399",0.898550725,0.898550725,0.102504244,0.898550725,0.953735144,0.856331408,0.233655691,0.021461487
credit-approval,HGARF,2,"96,15,8, 3, 4,0.2317305024101285,0.09663217258758072",0.927536232,0.927536232,0.066374589,0.932108993,0.964658293,0.894932772,3.274510145,0.003958702
credit-approval,AdaBoost,2,"132,1.3879828705089663",0.891304348,0.891304348,0.098613596,0.901593061,0.962742176,0.84628592,0.193612814,0.01750946
credit-approval,HGARF,3,"86,15,8, 3, 4,0.15612521354299458,0.5127774747216437",0.768115942,0.768115942,0.224761905,0.783451046,0.850649351,0.712017741,3.977938414,0.003915787
credit-approval,AdaBoost,3,"133,0.6049202734926601",0.724637681,0.724637681,0.273491696,0.730592762,0.786991697,0.664945777,0.195082188,0.018046618
credit-approval,HGARF,4,"71,15,8, 3, 4,0.4263599330189155,0.6633836298391317",0.913043478,0.913043478,0.081489595,0.917764345,0.942410049,0.874873845,4.673870087,0.004212141
credit-approval,AdaBoost,4,"100,0.5704508961243595",0.905797101,0.905797101,0.083184258,0.915863656,0.923994039,0.865895217,0.146390676,0.013513088
cylinder-bands,HGARF,0,"53,35,8, 3, 4,0.47670728690681957,0.7483539275614809",0.582524272,0.582524272,0.465897436,0.655744337,0.60734127,0.513539858,4.29126215,0.003252983
cylinder-bands,AdaBoost,0,"137,0.7316696433955985",0.59223301,0.59223301,0.441681338,0.619818154,0.596031746,0.528304413,0.207058191,0.017989159
cylinder-bands,HGARF,1,"79,35,8, 3, 4,0.5774616695773491,0.7862401007898195",0.611650485,0.611650485,0.405737705,0.608899676,0.604563492,0.554932954,4.462703943,0.003213644
cylinder-bands,AdaBoost,1,"113,0.6482994321989198",0.582524272,0.582524272,0.444512695,0.590025428,0.56031746,0.528715472,0.17078042,0.014764309
cylinder-bands,HGARF,2,"93,35,8, 3, 4,0.638422930299003,0.9926821569739083",0.637254902,0.637254902,0.381562882,0.639065465,0.686693548,0.570542564,4.607945204,0.003207445
cylinder-bands,AdaBoost,2,"122,1.4223196095484725",0.519607843,0.519607843,0.526805997,0.555115433,0.385483871,0.489349872,0.183626413,0.015776157
cylinder-bands,HGARF,3,"78,35,8, 3, 4,0.6031413558453558,0.7513280380305205",0.539215686,0.539215686,0.464959569,0.537152119,0.559475806,0.518789905,4.486008167,0.003235102
cylinder-bands,AdaBoost,3,"153,1.0876460892301814",0.441176471,0.441176471,0.558823529,0.438306452,0.415725806,0.474217268,0.231333733,0.019819498
cylinder-bands,HGARF,4,"54,35,8, 3, 4,0.8623967988047325,0.4182916323675154",0.509803922,0.509803922,0.492307692,0.508222644,0.554637097,0.503906972,4.39076376,0.003211737
cylinder-bands,AdaBoost,4,"195,1.4920338361762644",0.647058824,0.647058824,0.313322368,0.725616698,0.802419355,0.619569326,0.294391394,0.025046825
dermatology,HGARF,0,"82,34,8, 3, 4,0.971545788574444,0.7475691735340696",0.945945946,0.945945946,0.010544613,0.950604801,0.986291209,0.892575443,3.14947629,0.002440691
dermatology,AdaBoost,0,"431,0.6421526530466652",0.918918919,0.918918919,0.015628179,0.924324324,0.967812188,0.820858688,0.574672222,0.058952332
dermatology,HGARF,1,"68,34,8, 3, 4,0.770262670870912,0.825981669264131",0.98630137,0.98630137,0.002777778,0.987279843,1,0.976489454,3.105752945,0.002451658
dermatology,AdaBoost,1,"353,0.5002270539558068",0.931506849,0.931506849,0.013227513,0.945640357,0.997089947,0.877949917,0.4734447,0.04842639
dermatology,HGARF,2,"81,34,8, 3, 4,0.8754010959258536,0.2456891059982646",0.97260274,0.97260274,0.005377743,0.97260274,0.994900794,0.946279173,3.021728754,0.00244236
dermatology,AdaBoost,2,"270,0.5154446444892878",0.739726027,0.739726027,0.050465343,0.860944723,0.981939268,0.608168505,0.361641645,0.036766768
dermatology,HGARF,3,"59,34,8, 3, 4,0.281576187852175,0.5521398011669049",0.945205479,0.945205479,0.010179924,0.95890411,0.995888889,0.909645241,2.70641613,0.002424002
dermatology,AdaBoost,3,"487,0.6829084535872766",0.945205479,0.945205479,0.00995671,0.960958904,0.98,0.875799087,0.644037247,0.064921618
dermatology,HGARF,4,"95,34,8, 3, 4,0.0020564375742528895,0.7224588776753029",0.95890411,0.95890411,0.007986111,0.960502283,0.986041667,0.921308005,2.831888914,0.002445221
dermatology,AdaBoost,4,"299,0.5297697541249409",0.931506849,0.931506849,0.01344086,0.932191781,0.982222222,0.877324616,0.401211262,0.040611744
diabetes,HGARF,0,"81,8,8, 3, 4,0.017224360482916312,0.8455432240789648",0.766233766,0.766233766,0.256598793,0.768595479,0.786574074,0.672705976,5.203496933,0.004309416
diabetes,AdaBoost,0,"206,0.7609491686611098",0.74025974,0.74025974,0.285769231,0.746166426,0.793703704,0.64276899,0.305999517,0.027523994
diabetes,HGARF,1,"59,8,8, 3, 4,0.9161049523263526,0.45306112878087357",0.694805195,0.694805195,0.338934182,0.708441558,0.707407407,0.595279844,5.553537846,0.004342556
diabetes,AdaBoost,1,"101,0.7010129000825116",0.720779221,0.720779221,0.307024099,0.722061087,0.771851852,0.627466663,0.150696993,0.013614416
diabetes,HGARF,2,"64,8,8, 3, 4,0.2487983019324198,0.8152901879892205",0.766233766,0.766233766,0.247149123,0.798321308,0.782407407,0.658971324,5.26697135,0.004368782
diabetes,AdaBoost,2,"100,1.4984305384873742",0.798701299,0.798701299,0.20710123,0.82549543,0.833333333,0.698320926,0.148772955,0.013572693
diabetes,HGARF,3,"64,8,8, 3, 4,0.8102847626712346,0.42050715889600365",0.810457516,0.810457516,0.192920354,0.837326427,0.869811321,0.71079395,5.411927938,0.004273653
diabetes,AdaBoost,3,"121,0.5027073196630536",0.823529412,0.823529412,0.180823681,0.843551609,0.846415094,0.729155136,0.18292737,0.016287804
diabetes,HGARF,4,"78,8,8, 3, 4,0.886709223809427,0.31367857544172406",0.751633987,0.751633987,0.271881607,0.772080404,0.759150943,0.644875575,5.481904984,0.004356623
diabetes,AdaBoost,4,"138,0.5167704408980126",0.784313725,0.784313725,0.237378641,0.788031817,0.849245283,0.689703368,0.205385685,0.018551588
diggle_table_a2,HGARF,0,"70,8,8, 3, 4,0.6133724625054511,0.729954115196492",1,1,0,1,1,1,2.64334321,0.002163172
diggle_table_a2,AdaBoost,0,"208,0.5388213891780137",1,1,0,1,1,1,0.001358747,0.000401258
diggle_table_a2,HGARF,1,"60,8,8, 3, 4,0.6908220590981964,0.27720480456453145",1,1,0,1,1,1,2.524852276,0.002145052
diggle_table_a2,AdaBoost,1,"429,1.150895337269946",1,1,0,1,1,1,0.001366615,0.000393867
diggle_table_a2,HGARF,2,"73,8,8, 3, 4,0.23137148347958736,0.6727937672078755",1,1,0,1,1,1,2.449925423,0.002145529
diggle_table_a2,AdaBoost,2,"136,0.7512750280993808",1,1,0,1,1,1,0.001358509,0.000388622
diggle_table_a2,HGARF,3,"53,8,8, 3, 4,0.2536608482828382,0.8613994471105763",1,1,0,1,1,1,2.635067463,0.002122164
diggle_table_a2,AdaBoost,3,"218,1.46819803494276",1,1,0,1,1,1,0.001369953,0.000393391
diggle_table_a2,HGARF,4,"94,8,8, 3, 4,0.24230731806131522,0.12142086301429744",0.967741935,0.967741935,0.028571429,0.96996663,1,0.953074845,2.030522108,0.002172709
diggle_table_a2,AdaBoost,4,"230,0.5346253426219228",1,1,0,1,1,1,0.001358747,0.000396013
disclosure_z,HGARF,0,"65,3,8, 3, 4,0.4547189286486877,0.5311278884192243",0.436090226,0.436090226,0.561479466,0.485773959,0.461564626,0.475314296,7.146842957,0.007102489
disclosure_z,AdaBoost,0,"194,1.470980249093159",0.466165414,0.466165414,0.534034374,0.465914787,0.475736961,0.484145725,0.31034112,0.038842678
disclosure_z,HGARF,1,"75,3,8, 3, 4,0.6512287700224694,0.8401759399155933",0.518796992,0.518796992,0.477471264,0.530540637,0.51462585,0.511577603,8.2943151,0.007303953
disclosure_z,AdaBoost,1,"475,1.4241913422176313",0.503759398,0.503759398,0.496042515,0.50399809,0.535600907,0.501994329,0.764377356,0.092631102
disclosure_z,HGARF,2,"95,3,8, 3, 4,0.5584795965534796,0.20803479418001372",0.431818182,0.431818182,0.566666667,0.437605872,0.427651254,0.471340737,6.653846264,0.007209301
disclosure_z,AdaBoost,2,"265,0.6380888757211856",0.431818182,0.431818182,0.571994408,0.436654328,0.438233264,0.469677492,0.424995899,0.05213809
disclosure_z,HGARF,3,"57,3,8, 3, 4,0.0366452480543665,0.5321851459866583",0.507575758,0.507575758,0.491727941,0.508752117,0.511732229,0.504200643,6.388247728,0.007229567
disclosure_z,AdaBoost,3,"117,0.5719933986920036",0.537878788,0.537878788,0.46577381,0.568542569,0.568783069,0.516940236,0.187886238,0.023103237
disclosure_z,HGARF,4,"88,3,8, 3, 4,0.7728529734962065,0.4737888419576645",0.553030303,0.553030303,0.444354653,0.558654518,0.570852535,0.53073879,7.691768885,0.007061243
disclosure_z,AdaBoost,4,"347,0.9621966330764888",0.46969697,0.46969697,0.532258065,0.46969697,0.458986175,0.484974616,0.57245183,0.069500208
echocardiogram,HGARF,0,"73,10,8, 3, 4,0.42410988779888426,0.09410019274783499",0.851851852,0.851851852,0.166666667,0.851851852,0.907407407,0.771604938,2.318638086,0.00231123
